[2024-12-11 16:59:48,751][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:52,610][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:52,890][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:53,148][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:53,423][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:53,702][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:53,991][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:54,267][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:54,539][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:54,806][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:55,084][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:55,417][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:55,698][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:56,007][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:56,297][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:56,604][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:56,921][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:57,232][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:57,555][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:57,860][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:58,174][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:58,470][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:58,783][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:59,077][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:59,385][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:59,668][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 16:59:59,963][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:00,267][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:00,550][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:00,825][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:01,113][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:01,422][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:01,733][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:02,035][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:02,346][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:02,651][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:02,935][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:03,228][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:03,524][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:03,818][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:04,122][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:04,435][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:04,740][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:05,027][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:05,331][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:05,642][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:05,911][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:06,211][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:06,493][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:06,777][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:07,073][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:07,343][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:07,648][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:07,934][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:08,246][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:08,564][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:08,874][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:09,154][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:09,451][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:09,759][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:10,073][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:10,375][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:10,667][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:10,953][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:11,243][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:11,546][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:11,856][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:12,189][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:12,490][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:12,808][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:13,111][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:13,432][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:13,733][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:14,014][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:14,306][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:14,609][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
[2024-12-11 17:00:14,908][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpci640dth/huggingface.sqlite'
