[2024-12-11 21:31:53,944][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:31:54,092][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:31:54,799][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:31:55,503][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:31:55,648][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:31:55,792][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:31:55,937][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:31:56,645][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:31:57,142][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:31:57,639][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:31:58,137][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:31:58,844][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:31:59,551][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:00,256][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:00,402][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:01,110][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:01,606][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:02,311][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:02,807][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:02,952][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:03,098][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:03,244][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:03,388][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:04,093][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:04,239][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:04,945][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:05,648][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:05,794][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:05,965][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:06,110][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:06,813][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:07,308][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:08,015][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:08,721][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:09,424][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:10,131][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:10,275][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:10,421][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:10,917][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:11,413][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:11,558][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:11,702][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:11,845][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:11,990][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:12,134][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:12,838][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:13,545][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:13,689][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:14,405][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:14,553][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:15,266][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:15,838][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:16,550][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:17,050][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:17,762][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:18,496][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:19,069][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:19,782][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:20,497][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:21,211][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:21,711][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:22,422][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:22,570][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:23,280][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:32:23,994][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
