[2024-12-11 17:39:29,018][accelerate.utils.modeling][INFO] - We will use 90% of the memory on device 0 for storing the model, and 10% for the buffer to avoid OOM. You can set `max_memory` in to a higher value to use more memory (at your own risk).
[2024-12-11 17:39:32,216][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:33,132][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:33,349][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:33,567][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:33,786][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:34,001][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:34,228][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:34,443][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:34,658][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:34,875][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:35,092][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:35,309][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:35,524][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:35,743][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:35,962][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:36,181][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:36,401][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:36,618][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:36,838][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:37,055][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:37,267][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:37,480][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:37,694][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:37,912][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:38,133][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
