[2024-12-11 22:23:29,919][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:30,173][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:30,397][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:30,648][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:30,900][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:31,124][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:31,374][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:31,622][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:31,874][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:32,118][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:32,364][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:32,614][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:32,838][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:33,088][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:33,335][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:33,585][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:33,829][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:34,079][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:34,329][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:34,578][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:34,825][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:35,080][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:35,339][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:35,588][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:35,835][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:36,083][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:36,332][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:36,581][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:36,829][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:37,076][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:37,324][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:37,574][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:37,823][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:38,076][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:38,325][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:39,194][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
