[2024-12-11 18:18:10,860][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:11,076][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:11,294][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:11,510][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:11,721][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:11,938][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:12,156][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:12,370][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:12,589][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:12,805][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:13,021][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:13,235][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:13,453][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:13,671][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:13,885][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:14,100][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:14,315][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:14,537][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:14,755][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:14,974][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:15,192][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:15,406][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:15,624][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:15,838][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:16,060][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:16,278][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:16,495][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:16,711][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:16,926][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:17,143][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:17,359][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:17,575][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:17,792][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:18,008][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:18,223][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:18,441][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:18,658][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:18,875][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:19,089][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:19,307][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:19,525][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:19,740][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:19,959][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:20,177][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:20,392][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:20,607][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:20,823][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:21,044][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:21,261][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:21,479][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:21,695][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:21,911][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:22,125][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:22,336][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:22,553][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:22,770][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:22,986][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:23,204][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:23,421][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:23,637][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:23,881][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:24,101][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:24,321][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:24,540][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:24,757][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:24,977][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:25,194][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:25,410][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:25,624][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:25,842][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:26,060][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:26,280][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:26,498][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:26,709][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
