[2024-12-11 17:43:58,204][accelerate.utils.modeling][INFO] - We will use 90% of the memory on device 0 for storing the model, and 10% for the buffer to avoid OOM. You can set `max_memory` in to a higher value to use more memory (at your own risk).
[2024-12-11 17:44:01,428][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:02,314][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:02,503][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:02,688][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:02,876][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:03,065][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:03,253][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:03,446][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:03,634][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:03,821][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:04,006][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:04,192][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:04,380][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:04,571][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:04,756][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:04,946][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:05,133][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:05,322][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:05,513][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:05,702][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:05,889][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:06,076][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:06,263][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:06,450][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:06,638][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:06,824][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:07,011][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:07,203][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:07,390][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:07,576][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:07,762][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:07,956][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:08,147][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:08,337][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:08,522][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:08,711][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:08,897][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:09,085][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:09,272][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:09,461][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:09,650][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:09,838][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:10,026][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:10,218][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:10,410][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:10,599][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:10,785][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:10,980][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:11,166][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:11,354][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:11,543][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:11,732][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:11,974][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:12,165][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:12,351][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:12,539][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:12,733][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:12,919][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:13,105][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:13,293][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:13,480][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
[2024-12-11 17:44:13,669][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp1tfgca9v/huggingface.sqlite'
